SCHOOL_YEAR,DATA_LEVEL,PUBLIC_OR_INDEPENDENT,DISTRICT_NUMBER,SCHOOL_NUMBER,AB_STUDENT_IN_AB_PROGRAM,ELL,FRENCH_PROGRAM,CORE_FRENCH,FRENCH_IMMERSION,PROGRAMME_FRANCOPHONE,CAREER_PREPARATION,CAREER_TECH_CENTRE,CONTINUING_ED_PROGRAM,COOP,DIST_LEARNING,APPRENTICESHIP
2012/2013,PROVINCE LEVEL,BC Independent School,,,391,3418,39610,39158,452,,6,,22,,8995,45
2013/2014,PROVINCE LEVEL,BC Independent School,,,719,3415,39055,38612,441,2,110,,24,,9646,
2014/2015,PROVINCE LEVEL,BC Independent School,,,910,3566,41437,40882,552,3,52,4,19,,10216,
2015/2016,PROVINCE LEVEL,BC Independent School,,,907,3586,41937,41388,546,3,18,,19,,10268,
2016/2017,PROVINCE LEVEL,BC Independent School,,,951,3484,42377,41812,562,3,49,,10,,10219,
2012/2013,PROVINCE LEVEL,BC Public School,,,55125,61296,231534,178921,47857,4763,15989,1815,13370,842,41896,563
2013/2014,PROVINCE LEVEL,BC Public School,,,55944,61395,229999,175464,49451,5088,15502,1799,12554,781,40484,569
2014/2015,PROVINCE LEVEL,BC Public School,,,55693,61080,227668,171967,50308,5402,14422,2072,10096,553,38675,428
2015/2016,PROVINCE LEVEL,BC Public School,,,57317,63093,231212,173124,52545,5550,11279,2009,8474,491,29912,427
2016/2017,PROVINCE LEVEL,BC Public School,,,58434,62801,232142,173224,53206,5723,7808,2052,8054,439,27469,454
2012/2013,PROVINCE LEVEL,PROVINCE - Total,,,55516,64714,271144,218079,48309,4763,15995,1815,13392,842,50891,608
2013/2014,PROVINCE LEVEL,PROVINCE - Total,,,56663,64810,269054,214076,49892,5090,15612,1799,12578,781,50130,569
2014/2015,PROVINCE LEVEL,PROVINCE - Total,,,56603,64646,269105,212849,50860,5405,14474,2076,10115,553,48891,428
2015/2016,PROVINCE LEVEL,PROVINCE - Total,,,58224,66679,273149,214512,53091,5553,11297,2009,8493,491,40180,427
2016/2017,PROVINCE LEVEL,PROVINCE - Total,,,59385,66285,274519,215036,53768,5726,7857,2052,8064,439,37688,454
2012/2013,DISTRICT LEVEL,BC Public School,5,,692,24,1981,1545,436,1,72,16,,,399,
2012/2013,DISTRICT LEVEL,BC Public School,6,,523,55,1247,1070,176,1,13,9,4,,194,1
2012/2013,DISTRICT LEVEL,BC Public School,8,,655,34,1970,1694,277,,,41,,,1135,3
2012/2013,DISTRICT LEVEL,BC Public School,10,,65,,229,228,,1,,,,,38,
2012/2013,DISTRICT LEVEL,BC Public School,19,,118,12,427,427,,,18,14,,,55,
2012/2013,DISTRICT LEVEL,BC Public School,20,,296,24,1503,1332,171,,270,,35,,53,
2012/2013,DISTRICT LEVEL,BC Public School,22,,1032,54,3488,2446,1042,,,28,74,,332,8
2012/2013,DISTRICT LEVEL,BC Public School,23,,2239,352,8975,6818,2157,,3266,216,7,,994,3
2012/2013,DISTRICT LEVEL,BC Public School,27,,1356,307,1930,1630,300,,,8,81,,183,2
2012/2013,DISTRICT LEVEL,BC Public School,28,,830,139,1302,1104,198,,309,,198,,86,
2012/2013,DISTRICT LEVEL,BC Public School,33,,1892,521,4113,3645,467,1,468,39,132,14,1432,40
2012/2013,DISTRICT LEVEL,BC Public School,34,,1929,2122,7404,6197,1207,,120,14,17,,1149,20
2012/2013,DISTRICT LEVEL,BC Public School,35,,1695,912,7934,6525,1409,,9,92,553,,896,5
2012/2013,DISTRICT LEVEL,BC Public School,36,,3060,15157,27909,24738,3170,1,2262,211,1861,650,4634,23
2012/2013,DISTRICT LEVEL,BC Public School,37,,536,1718,7457,5451,2006,,350,55,209,40,555,14
2012/2013,DISTRICT LEVEL,BC Public School,38,,215,6128,9861,7619,2242,1,493,,612,,993,67
2012/2013,DISTRICT LEVEL,BC Public School,39,,1959,11177,23017,18052,4962,3,2240,55,4197,,3106,8
2012/2013,DISTRICT LEVEL,BC Public School,40,,352,816,2580,1608,972,,46,30,1060,,547,3
2012/2013,DISTRICT LEVEL,BC Public School,41,,709,4827,10184,8098,2086,,2660,98,808,,1353,5
2012/2013,DISTRICT LEVEL,BC Public School,42,,1111,331,6538,5106,1431,2,318,124,467,,338,
2012/2013,DISTRICT LEVEL,BC Public School,43,,1173,4846,13711,10454,3258,,673,96,1076,,2552,63
2012/2013,DISTRICT LEVEL,BC Public School,44,,564,797,7392,4999,2393,,352,1,111,31,340,4
2012/2013,DISTRICT LEVEL,BC Public School,45,,47,791,3178,2271,907,,363,,,,258,6
2012/2013,DISTRICT LEVEL,BC Public School,46,,481,101,1164,1164,,,,,,,232,
2012/2013,DISTRICT LEVEL,BC Public School,47,,303,8,651,597,54,,69,,,,197,
2012/2013,DISTRICT LEVEL,BC Public School,48,,591,372,1704,1261,443,,44,16,,,182,2
2012/2013,DISTRICT LEVEL,BC Public School,49,,123,,43,43,,,,,,,2,
2012/2013,DISTRICT LEVEL,BC Public School,50,,369,33,163,146,17,,,,,,2,
2012/2013,DISTRICT LEVEL,BC Public School,51,,338,,559,559,,,,,,,54,
2012/2013,DISTRICT LEVEL,BC Public School,52,,1311,240,629,468,161,,94,,,,26,
2012/2013,DISTRICT LEVEL,BC Public School,53,,335,133,972,972,,,64,,77,,174,4
2012/2013,DISTRICT LEVEL,BC Public School,54,,541,20,776,602,174,,,,,,204,
2012/2013,DISTRICT LEVEL,BC Public School,57,,3296,1399,5080,4239,841,,,122,334,,542,38
2012/2013,DISTRICT LEVEL,BC Public School,58,,912,89,790,623,167,,,12,1,,639,10
2012/2013,DISTRICT LEVEL,BC Public School,59,,1177,60,1551,1167,384,,20,39,,,158,
2012/2013,DISTRICT LEVEL,BC Public School,60,,995,281,1748,1420,328,,172,49,,,601,18
2012/2013,DISTRICT LEVEL,BC Public School,61,,1559,1662,10186,6708,3478,2,350,8,524,18,1052,5
2012/2013,DISTRICT LEVEL,BC Public School,62,,941,417,3779,2786,993,,,,237,,1418,
2012/2013,DISTRICT LEVEL,BC Public School,63,,368,246,4745,3840,905,,,51,46,,3756,36
2012/2013,DISTRICT LEVEL,BC Public School,64,,115,24,535,350,185,,75,1,1,,71,16
2012/2013,DISTRICT LEVEL,BC Public School,67,,636,86,2443,1777,666,,146,26,19,,226,3
2012/2013,DISTRICT LEVEL,BC Public School,68,,2085,597,5399,4074,1325,,,88,120,,1213,
2012/2013,DISTRICT LEVEL,BC Public School,69,,400,65,1684,1307,377,,,,17,,388,
2012/2013,DISTRICT LEVEL,BC Public School,70,,1069,293,1440,1031,409,,214,,,,178,1
2012/2013,DISTRICT LEVEL,BC Public School,71,,1015,74,3190,2072,1117,1,,,1,,2885,
2012/2013,DISTRICT LEVEL,BC Public School,72,,1117,253,2551,1725,826,,,,39,,285,
2012/2013,DISTRICT LEVEL,BC Public School,73,,2262,153,5981,4884,1093,4,62,52,147,,2616,108
2012/2013,DISTRICT LEVEL,BC Public School,74,,699,211,267,267,,,,2,,,88,
2012/2013,DISTRICT LEVEL,BC Public School,75,,884,251,2426,1958,468,,27,17,1,89,447,2
2012/2013,DISTRICT LEVEL,BC Public School,78,,604,66,573,573,,,,,,,16,
2012/2013,DISTRICT LEVEL,BC Public School,79,,1337,388,4178,3295,883,,66,48,125,,172,8
2012/2013,DISTRICT LEVEL,BC Public School,81,,274,21,283,283,,,34,11,,,38,4
2012/2013,DISTRICT LEVEL,BC Public School,82,,2039,329,1794,1399,395,,,7,1,,625,
2012/2013,DISTRICT LEVEL,BC Public School,83,,870,54,2392,1707,685,,176,107,20,,219,29
2012/2013,DISTRICT LEVEL,BC Public School,84,,200,85,84,84,,,,,,,26,
2012/2013,DISTRICT LEVEL,BC Public School,85,,522,136,520,519,,1,27,,,,66,
2012/2013,DISTRICT LEVEL,BC Public School,87,,164,47,21,21,,,,,,,3,
2012/2013,DISTRICT LEVEL,BC Public School,91,,1353,261,2159,1943,216,,32,12,158,,1282,4
2012/2013,DISTRICT LEVEL,BC Public School,92,,370,167,,,,,15,,,,2,
2012/2013,DISTRICT LEVEL,BC Public School,93,,422,1530,4744,,,4744,,,,,189,
2013/2014,DISTRICT LEVEL,BC Public School,5,,734,25,1924,1477,447,,68,37,,,342,1
2013/2014,DISTRICT LEVEL,BC Public School,6,,503,56,1408,1261,145,2,26,,3,,80,2
2013/2014,DISTRICT LEVEL,BC Public School,8,,685,37,1882,1615,267,,8,20,1,,884,2
2013/2014,DISTRICT LEVEL,BC Public School,10,,74,,205,204,,1,,,,,24,
2013/2014,DISTRICT LEVEL,BC Public School,19,,112,10,424,424,,,29,3,,,39,
2013/2014,DISTRICT LEVEL,BC Public School,20,,296,29,1458,1254,202,2,114,18,18,,62,3
2013/2014,DISTRICT LEVEL,BC Public School,22,,1044,53,3495,2440,1055,,3,38,52,,370,1
2013/2014,DISTRICT LEVEL,BC Public School,23,,2230,343,8999,6806,2191,2,3327,168,8,,1167,1
2013/2014,DISTRICT LEVEL,BC Public School,27,,1337,282,1775,1456,319,,,15,92,,153,2
2013/2014,DISTRICT LEVEL,BC Public School,28,,843,29,1182,988,194,,291,,168,,93,
2013/2014,DISTRICT LEVEL,BC Public School,33,,1928,569,4109,3631,478,1,526,36,108,7,1249,54
2013/2014,DISTRICT LEVEL,BC Public School,34,,1927,2055,7413,6182,1231,,144,,11,,962,28
2013/2014,DISTRICT LEVEL,BC Public School,35,,1761,925,7795,6362,1433,,1,97,521,,833,10
2013/2014,DISTRICT LEVEL,BC Public School,36,,3100,15553,28366,25070,3295,1,2172,194,2157,604,4064,23
2013/2014,DISTRICT LEVEL,BC Public School,37,,518,1763,7401,5375,2026,,506,58,259,23,704,19
2013/2014,DISTRICT LEVEL,BC Public School,38,,223,6123,9845,7585,2259,1,485,53,590,,898,
2013/2014,DISTRICT LEVEL,BC Public School,39,,2011,10664,22638,17567,5070,3,2230,80,3578,,3056,5
2013/2014,DISTRICT LEVEL,BC Public School,40,,330,878,2677,1700,977,,53,50,1090,,731,4
2013/2014,DISTRICT LEVEL,BC Public School,41,,734,4751,10021,7878,2143,,2495,98,834,,1579,18
2013/2014,DISTRICT LEVEL,BC Public School,42,,1173,338,6232,4758,1474,,279,139,455,,427,1
2013/2014,DISTRICT LEVEL,BC Public School,43,,1240,4929,13888,10432,3456,,653,97,1089,,2684,35
2013/2014,DISTRICT LEVEL,BC Public School,44,,602,867,7500,4995,2505,,269,11,25,36,441,3
2013/2014,DISTRICT LEVEL,BC Public School,45,,48,811,3212,2274,938,,303,,,,278,17
2013/2014,DISTRICT LEVEL,BC Public School,46,,533,117,989,989,,,,1,,,125,
2013/2014,DISTRICT LEVEL,BC Public School,47,,307,4,658,574,84,,44,,67,,210,
2013/2014,DISTRICT LEVEL,BC Public School,48,,613,420,1761,1254,506,1,64,13,,,231,2
2013/2014,DISTRICT LEVEL,BC Public School,49,,132,,57,57,,,,,,,1,
2013/2014,DISTRICT LEVEL,BC Public School,50,,408,35,156,116,40,,,,,,8,
2013/2014,DISTRICT LEVEL,BC Public School,51,,331,,608,608,,,,,,,45,
2013/2014,DISTRICT LEVEL,BC Public School,52,,1278,249,645,469,176,,83,,,,33,
2013/2014,DISTRICT LEVEL,BC Public School,53,,384,132,969,969,,,52,,69,,188,
2013/2014,DISTRICT LEVEL,BC Public School,54,,559,25,905,712,193,,,,,,139,
2013/2014,DISTRICT LEVEL,BC Public School,57,,3289,1331,4944,4019,925,,,108,266,,478,43
2013/2014,DISTRICT LEVEL,BC Public School,58,,906,82,803,625,178,,,8,10,,531,4
2013/2014,DISTRICT LEVEL,BC Public School,59,,1169,72,1498,1105,393,,24,34,,,83,
2013/2014,DISTRICT LEVEL,BC Public School,60,,1046,291,1876,1533,343,,180,44,,,688,42
2013/2014,DISTRICT LEVEL,BC Public School,61,,1529,1664,10082,6472,3609,1,329,19,307,6,1061,4
2013/2014,DISTRICT LEVEL,BC Public School,62,,1040,423,3676,2645,1031,,,,226,,1713,
2013/2014,DISTRICT LEVEL,BC Public School,63,,376,241,4672,3776,895,1,,42,51,,3392,31
2013/2014,DISTRICT LEVEL,BC Public School,64,,140,19,527,312,215,,89,1,,,69,15
2013/2014,DISTRICT LEVEL,BC Public School,67,,696,67,2433,1757,676,,116,32,20,,92,
2013/2014,DISTRICT LEVEL,BC Public School,68,,2107,585,5427,4041,1386,,,49,111,,1274,
2013/2014,DISTRICT LEVEL,BC Public School,69,,401,62,1699,1320,379,,,,9,,550,
2013/2014,DISTRICT LEVEL,BC Public School,70,,1046,326,1426,1009,417,,12,,,,219,9
2013/2014,DISTRICT LEVEL,BC Public School,71,,1075,65,3176,2019,1157,,54,,1,,1849,
2013/2014,DISTRICT LEVEL,BC Public School,72,,1086,243,2418,1582,836,,,,39,,278,
2013/2014,DISTRICT LEVEL,BC Public School,73,,2268,135,5821,4686,1132,4,78,96,129,,2738,148
2013/2014,DISTRICT LEVEL,BC Public School,74,,659,207,219,219,,,,1,,,88,1
2013/2014,DISTRICT LEVEL,BC Public School,75,,901,234,2372,1899,473,,19,20,1,105,468,2
2013/2014,DISTRICT LEVEL,BC Public School,78,,592,105,454,454,,,7,,1,,22,3
2013/2014,DISTRICT LEVEL,BC Public School,79,,1321,342,3846,2918,928,,32,1,114,,164,
2013/2014,DISTRICT LEVEL,BC Public School,81,,254,19,262,262,,,6,4,,,34,4
2013/2014,DISTRICT LEVEL,BC Public School,82,,2024,353,1837,1414,423,,,12,,,696,
2013/2014,DISTRICT LEVEL,BC Public School,83,,879,34,2220,1481,739,,236,89,14,,206,26
2013/2014,DISTRICT LEVEL,BC Public School,84,,174,81,58,58,,,,,,,13,
2013/2014,DISTRICT LEVEL,BC Public School,85,,547,125,510,510,,,84,4,,,66,1
2013/2014,DISTRICT LEVEL,BC Public School,87,,168,56,20,20,,,,,,,,
2013/2014,DISTRICT LEVEL,BC Public School,91,,1401,221,2058,1846,212,,11,9,60,,1398,5
2013/2014,DISTRICT LEVEL,BC Public School,92,,387,268,,,,,,,,,,
2013/2014,DISTRICT LEVEL,BC Public School,93,,465,1672,5068,,,5068,,,,,214,
2014/2015,DISTRICT LEVEL,BC Public School,5,,772,30,1938,1480,458,,167,42,,,336,
2014/2015,DISTRICT LEVEL,BC Public School,6,,549,39,1331,1205,126,,51,,1,,79,
2014/2015,DISTRICT LEVEL,BC Public School,8,,704,34,1787,1517,270,,,26,1,,948,3
2014/2015,DISTRICT LEVEL,BC Public School,10,,74,,196,194,,2,,,,,30,
2014/2015,DISTRICT LEVEL,BC Public School,19,,115,19,335,335,,,19,,,,55,
2014/2015,DISTRICT LEVEL,BC Public School,20,,271,25,1464,1252,212,,27,193,9,,74,
2014/2015,DISTRICT LEVEL,BC Public School,22,,1075,60,3534,2465,1069,,,34,28,,479,
2014/2015,DISTRICT LEVEL,BC Public School,23,,2280,314,8945,6663,2281,1,3285,171,5,,1130,
2014/2015,DISTRICT LEVEL,BC Public School,27,,1304,329,1652,1347,305,,,4,52,,211,
2014/2015,DISTRICT LEVEL,BC Public School,28,,814,47,1119,929,190,,247,,24,,65,
2014/2015,DISTRICT LEVEL,BC Public School,33,,1948,573,4163,3666,497,,486,42,50,8,1344,31
2014/2015,DISTRICT LEVEL,BC Public School,34,,1898,2067,7462,6217,1245,,166,,33,,930,20
2014/2015,DISTRICT LEVEL,BC Public School,35,,1800,1052,7936,6493,1443,,,97,464,,1063,9
2014/2015,DISTRICT LEVEL,BC Public School,36,,3123,16023,28431,25076,3357,,2143,238,2273,453,2027,23
2014/2015,DISTRICT LEVEL,BC Public School,37,,541,1689,7464,5417,2047,,527,57,253,44,640,13
2014/2015,DISTRICT LEVEL,BC Public School,38,,218,5927,9784,7528,2255,5,417,61,416,,813,
2014/2015,DISTRICT LEVEL,BC Public School,39,,2045,10190,20805,15890,4912,3,1805,71,2881,,2934,10
2014/2015,DISTRICT LEVEL,BC Public School,40,,330,922,2557,1573,984,,53,31,589,,960,3
2014/2015,DISTRICT LEVEL,BC Public School,41,,740,4631,10076,7852,2224,,2367,118,618,,1668,2
2014/2015,DISTRICT LEVEL,BC Public School,42,,1167,357,6197,4739,1458,,166,98,345,,383,
2014/2015,DISTRICT LEVEL,BC Public School,43,,1229,4495,13457,9795,3662,,530,78,895,,2009,21
2014/2015,DISTRICT LEVEL,BC Public School,44,,589,918,7448,4925,2523,,284,3,16,33,666,9
2014/2015,DISTRICT LEVEL,BC Public School,45,,55,925,3301,2321,980,,282,9,,,343,4
2014/2015,DISTRICT LEVEL,BC Public School,46,,515,120,1076,1076,,,,13,,,148,
2014/2015,DISTRICT LEVEL,BC Public School,47,,284,6,610,512,98,,11,,32,,256,
2014/2015,DISTRICT LEVEL,BC Public School,48,,585,398,1842,1182,660,2,35,13,,,312,7
2014/2015,DISTRICT LEVEL,BC Public School,49,,121,,67,67,,,,,,,,
2014/2015,DISTRICT LEVEL,BC Public School,50,,364,46,106,73,33,,,,,,4,
2014/2015,DISTRICT LEVEL,BC Public School,51,,325,,603,603,,,,,,,19,
2014/2015,DISTRICT LEVEL,BC Public School,52,,1277,186,569,404,165,,44,11,,,37,1
2014/2015,DISTRICT LEVEL,BC Public School,53,,392,141,969,969,,,55,2,23,,226,1
2014/2015,DISTRICT LEVEL,BC Public School,54,,504,18,825,631,194,,,,,,136,
2014/2015,DISTRICT LEVEL,BC Public School,57,,3401,1298,5107,4106,1001,,,59,168,,443,36
2014/2015,DISTRICT LEVEL,BC Public School,58,,790,73,718,556,162,,,4,23,,609,1
2014/2015,DISTRICT LEVEL,BC Public School,59,,1161,81,1419,1038,381,,86,49,,,78,4
2014/2015,DISTRICT LEVEL,BC Public School,60,,1030,326,1960,1617,343,,187,35,,,692,33
2014/2015,DISTRICT LEVEL,BC Public School,61,,1534,1738,10041,6361,3680,,288,1,258,15,1034,2
2014/2015,DISTRICT LEVEL,BC Public School,62,,1021,538,3900,2775,1124,1,,,107,,1814,
2014/2015,DISTRICT LEVEL,BC Public School,63,,489,258,4624,3721,903,,,133,61,,2758,10
2014/2015,DISTRICT LEVEL,BC Public School,64,,156,37,464,287,177,,67,,,,26,20
2014/2015,DISTRICT LEVEL,BC Public School,67,,704,62,2305,1643,662,,62,23,4,,152,3
2014/2015,DISTRICT LEVEL,BC Public School,68,,2037,594,5484,4049,1435,,,81,59,,1551,
2014/2015,DISTRICT LEVEL,BC Public School,69,,400,44,1619,1243,376,,,,8,,539,
2014/2015,DISTRICT LEVEL,BC Public School,70,,1002,265,1317,917,400,,5,10,,,240,6
2014/2015,DISTRICT LEVEL,BC Public School,71,,1080,76,3056,1901,1154,1,67,,2,,1957,
2014/2015,DISTRICT LEVEL,BC Public School,72,,1113,248,2448,1606,842,,,,30,,328,
2014/2015,DISTRICT LEVEL,BC Public School,73,,2275,166,5921,4746,1172,4,36,105,140,,2657,128
2014/2015,DISTRICT LEVEL,BC Public School,74,,625,192,257,257,,,,2,,,57,3
2014/2015,DISTRICT LEVEL,BC Public School,75,,998,208,2514,2046,468,,14,19,94,,471,
2014/2015,DISTRICT LEVEL,BC Public School,78,,573,110,364,364,,,2,,,,20,2
2014/2015,DISTRICT LEVEL,BC Public School,79,,1387,314,4139,3173,966,,39,11,95,,156,3
2014/2015,DISTRICT LEVEL,BC Public School,81,,244,35,246,246,,,,12,,,25,1
2014/2015,DISTRICT LEVEL,BC Public School,82,,1962,233,1750,1328,421,1,,16,,,742,
2014/2015,DISTRICT LEVEL,BC Public School,83,,931,33,2194,1438,756,,268,93,,,188,19
2014/2015,DISTRICT LEVEL,BC Public School,84,,186,77,81,81,,,,,,,2,
2014/2015,DISTRICT LEVEL,BC Public School,85,,578,145,481,481,,,75,,,,74,
2014/2015,DISTRICT LEVEL,BC Public School,87,,161,33,,,,,,,,,1,
2014/2015,DISTRICT LEVEL,BC Public School,91,,1350,198,1828,1591,237,,59,7,39,,1550,
2014/2015,DISTRICT LEVEL,BC Public School,92,,5,403,,,,,,,,,10,
2014/2015,DISTRICT LEVEL,BC Public School,93,,492,1714,5382,,,5382,,,,,176,
2015/2016,DISTRICT LEVEL,BC Public School,5,,838,43,2036,1541,495,,189,32,2,,137,1
2015/2016,DISTRICT LEVEL,BC Public School,6,,576,50,1259,1136,123,,49,,1,,42,3
2015/2016,DISTRICT LEVEL,BC Public School,8,,787,31,1654,1372,282,,,29,,,728,
2015/2016,DISTRICT LEVEL,BC Public School,10,,65,,201,200,,1,,,,,35,
2015/2016,DISTRICT LEVEL,BC Public School,19,,114,20,358,358,,,,,,,14,
2015/2016,DISTRICT LEVEL,BC Public School,20,,314,16,1472,1206,265,1,8,107,7,,40,
2015/2016,DISTRICT LEVEL,BC Public School,22,,1103,64,3445,2333,1112,,,38,32,,448,1
2015/2016,DISTRICT LEVEL,BC Public School,23,,2343,396,8978,6626,2351,1,971,126,13,,902,4
2015/2016,DISTRICT LEVEL,BC Public School,27,,1333,314,1736,1384,352,,,6,18,,133,6
2015/2016,DISTRICT LEVEL,BC Public School,28,,851,53,1108,911,197,,16,,55,,44,
2015/2016,DISTRICT LEVEL,BC Public School,33,,2018,566,4365,3813,552,,546,46,31,9,1174,44
2015/2016,DISTRICT LEVEL,BC Public School,34,,2002,2111,7711,6392,1319,,190,,12,,550,18
2015/2016,DISTRICT LEVEL,BC Public School,35,,1824,1093,8241,6793,1448,,,79,284,,908,19
2015/2016,DISTRICT LEVEL,BC Public School,36,,3177,16423,28691,25293,3398,,1963,205,1709,456,1638,27
2015/2016,DISTRICT LEVEL,BC Public School,37,,557,1558,7508,5461,2047,,570,55,347,21,580,14
2015/2016,DISTRICT LEVEL,BC Public School,38,,220,5879,10168,7378,2790,3,411,51,480,,892,10
2015/2016,DISTRICT LEVEL,BC Public School,39,,2095,9867,21901,16587,5313,1,1949,69,1695,,2773,1
2015/2016,DISTRICT LEVEL,BC Public School,40,,305,1012,2632,1660,972,,41,35,751,,1044,4
2015/2016,DISTRICT LEVEL,BC Public School,41,,704,4742,10282,8012,2269,1,2280,98,482,1,2063,2
2015/2016,DISTRICT LEVEL,BC Public School,42,,1170,448,6542,5006,1536,1,82,135,413,,338,
2015/2016,DISTRICT LEVEL,BC Public School,43,,1265,5872,14234,10410,3824,,441,70,1028,,1056,
2015/2016,DISTRICT LEVEL,BC Public School,44,,614,999,7426,4938,2487,1,203,4,17,4,749,7
2015/2016,DISTRICT LEVEL,BC Public School,45,,64,1032,3234,2239,995,1,234,7,,,318,
2015/2016,DISTRICT LEVEL,BC Public School,46,,555,110,937,937,,,,26,,,165,
2015/2016,DISTRICT LEVEL,BC Public School,47,,234,8,607,485,122,,,,18,,266,
2015/2016,DISTRICT LEVEL,BC Public School,48,,606,407,2068,1265,802,1,34,33,,,334,
2015/2016,DISTRICT LEVEL,BC Public School,49,,134,24,73,73,,,,,,,1,
2015/2016,DISTRICT LEVEL,BC Public School,50,,355,39,99,75,24,,,,,,1,
2015/2016,DISTRICT LEVEL,BC Public School,51,,316,,564,564,,,,,,,9,
2015/2016,DISTRICT LEVEL,BC Public School,52,,1284,175,565,368,197,,89,,,,7,
2015/2016,DISTRICT LEVEL,BC Public School,53,,415,151,953,927,26,,66,6,1,,216,5
2015/2016,DISTRICT LEVEL,BC Public School,54,,498,16,901,703,198,,,,,,88,
2015/2016,DISTRICT LEVEL,BC Public School,57,,3373,1392,5066,4022,1044,,,77,224,,320,23
2015/2016,DISTRICT LEVEL,BC Public School,58,,858,63,759,584,175,,,5,16,,338,1
2015/2016,DISTRICT LEVEL,BC Public School,59,,1113,88,1284,896,388,,65,46,,,28,8
2015/2016,DISTRICT LEVEL,BC Public School,60,,1032,398,1422,1061,361,,192,60,,,477,45
2015/2016,DISTRICT LEVEL,BC Public School,61,,1507,1748,9961,6155,3806,,278,3,199,,790,2
2015/2016,DISTRICT LEVEL,BC Public School,62,,1107,560,4042,2805,1237,,,,87,,1519,
2015/2016,DISTRICT LEVEL,BC Public School,63,,519,302,4697,3793,904,,,120,84,,2409,10
2015/2016,DISTRICT LEVEL,BC Public School,64,,167,46,510,369,141,,93,7,,,21,25
2015/2016,DISTRICT LEVEL,BC Public School,67,,736,68,2264,1610,654,,35,25,6,,159,3
2015/2016,DISTRICT LEVEL,BC Public School,68,,2047,590,5499,3986,1513,,,97,77,,747,
2015/2016,DISTRICT LEVEL,BC Public School,69,,429,42,1598,1213,385,,,,8,,361,
2015/2016,DISTRICT LEVEL,BC Public School,70,,1055,209,1469,1109,360,,1,11,,,273,1
2015/2016,DISTRICT LEVEL,BC Public School,71,,1107,85,2944,1794,1150,,,,1,,1388,
2015/2016,DISTRICT LEVEL,BC Public School,72,,1194,230,2454,1628,826,,,,51,,300,
2015/2016,DISTRICT LEVEL,BC Public School,73,,2381,132,5962,4751,1207,4,56,113,134,,671,97
2015/2016,DISTRICT LEVEL,BC Public School,74,,616,207,269,269,,,,13,,,55,
2015/2016,DISTRICT LEVEL,BC Public School,75,,1032,317,2508,2022,486,,5,36,79,,413,
2015/2016,DISTRICT LEVEL,BC Public School,78,,633,97,484,484,,,,,,,14,8
2015/2016,DISTRICT LEVEL,BC Public School,79,,1428,317,4159,3155,1004,,1,3,76,,52,
2015/2016,DISTRICT LEVEL,BC Public School,81,,250,30,252,252,,,17,16,,,18,3
2015/2016,DISTRICT LEVEL,BC Public School,82,,1905,169,1606,1196,410,1,,44,22,,131,5
2015/2016,DISTRICT LEVEL,BC Public School,83,,990,31,2169,1405,764,,112,71,,,156,29
2015/2016,DISTRICT LEVEL,BC Public School,84,,161,48,59,59,,,,,,,,
2015/2016,DISTRICT LEVEL,BC Public School,85,,589,190,444,444,,,47,,,,33,
2015/2016,DISTRICT LEVEL,BC Public School,87,,161,40,13,13,,,,,,,,
2015/2016,DISTRICT LEVEL,BC Public School,91,,1320,191,1836,1602,234,,45,5,14,,1346,1
2015/2016,DISTRICT LEVEL,BC Public School,92,,377,152,,,,,,,,,22,
2015/2016,DISTRICT LEVEL,BC Public School,93,,494,1832,5533,1,,5533,,,,,178,
2016/2017,DISTRICT LEVEL,BC Public School,5,,922,60,2040,1523,517,,246,33,,,184,
2016/2017,DISTRICT LEVEL,BC Public School,6,,592,57,1277,1133,144,,37,,2,,96,
2016/2017,DISTRICT LEVEL,BC Public School,8,,876,33,1710,1442,265,3,,27,3,,593,3
2016/2017,DISTRICT LEVEL,BC Public School,10,,60,,164,163,,1,,,,,41,
2016/2017,DISTRICT LEVEL,BC Public School,19,,113,26,348,348,,,37,9,,,14,
2016/2017,DISTRICT LEVEL,BC Public School,20,,398,16,1462,1146,315,1,,169,4,,63,
2016/2017,DISTRICT LEVEL,BC Public School,22,,1111,45,3455,2311,1144,,,37,27,,538,5
2016/2017,DISTRICT LEVEL,BC Public School,23,,2415,466,9199,6712,2487,,13,154,23,,1106,6
2016/2017,DISTRICT LEVEL,BC Public School,27,,1342,297,1881,1515,368,,,9,33,,185,4
2016/2017,DISTRICT LEVEL,BC Public School,28,,876,64,1168,960,208,,169,1,34,,33,
2016/2017,DISTRICT LEVEL,BC Public School,33,,2021,517,4787,4171,616,,436,90,46,6,1108,41
2016/2017,DISTRICT LEVEL,BC Public School,34,,2025,2257,7797,6457,1340,,199,,6,,564,69
2016/2017,DISTRICT LEVEL,BC Public School,35,,1797,1343,8603,7061,1542,,,80,304,,1088,18
2016/2017,DISTRICT LEVEL,BC Public School,36,,3171,16968,29093,25730,3362,1,1541,196,1523,426,1581,17
2016/2017,DISTRICT LEVEL,BC Public School,37,,546,1520,7576,5543,2034,,543,47,388,,495,10
2016/2017,DISTRICT LEVEL,BC Public School,38,,252,5700,9457,7206,2248,3,203,22,418,,970,10
2016/2017,DISTRICT LEVEL,BC Public School,39,,2142,9545,21457,16098,5354,6,25,57,1347,,2326,1
